Outcome,Probability
HHHTTTTTT,0.001953
TTTHTTTTT,0.001953
HTTHTTTTT,0.001953
THTHTTTTT,0.001953
HHTHTTTTT,0.001953
TTHHTTTTT,0.001953
HTHHTTTTT,0.001953
THHHTTTTT,0.001953
HHHHTTTTT,0.001953
TTTTHTTTT,0.001953
HTTTHTTTT,0.001953
THTTHTTTT,0.001953
HHTTHTTTT,0.001953
TTHTHTTTT,0.001953
HTHTHTTTT,0.001953
THHTHTTTT,0.001953
HHHTHTTTT,0.001953
TTTHHTTTT,0.001953
HTTHHTTTT,0.001953
THTHHTTTT,0.001953
HHTHHTTTT,0.001953
TTHHHTTTT,0.001953
HTHHHTTTT,0.001953
THHHHTTTT,0.001953
HHHHHTTTT,0.001953
TTTTTHTTT,0.001953
HTTTTHTTT,0.001953
THTTTHTTT,0.001953
HHTTTHTTT,0.001953
TTHTTHTTT,0.001953
HTHTTHTTT,0.001953
THHTTHTTT,0.001953
HHHTTHTTT,0.001953
TTTHTHTTT,0.001953
HTTHTHTTT,0.001953
THTHTHTTT,0.001953
HHTHTHTTT,0.001953
TTHHTHTTT,0.001953
HTHHTHTTT,0.001953
THHHTHTTT,0.001953
HHHHTHTTT,0.001953
TTTTHHTTT,0.001953
HTTTHHTTT,0.001953
THTTHHTTT,0.001953
HHTTHHTTT,0.001953
TTHTHHTTT,0.001953
HTHTHHTTT,0.001953
THHTHHTTT,0.001953
HHHTHHTTT,0.001953
TTTHHHTTT,0.001953
HTTHHHTTT,0.001953
THTHHHTTT,0.001953
HHTHHHTTT,0.001953
TTHHHHTTT,0.001953
HTHHHHTTT,0.001953
THHHHHTTT,0.001953
HHHHHHTTT,0.001953
TTTTTTHTT,0.001953
HTTTTTHTT,0.001953
THTTTTHTT,0.001953
HHTTTTHTT,0.001953
TTHTTTHTT,0.001953
HTHTTTHTT,0.001953
THHTTTHTT,0.001953
HHHTTTHTT,0.001953
TTTHTTHTT,0.001953
HTTHTTHTT,0.001953
THTHTTHTT,0.001953
HHTHTTHTT,0.001953
TTHHTTHTT,0.001953
HTHHTTHTT,0.001953
THHHTTHTT,0.001953
HHHHTTHTT,0.001953
TTTTHTHTT,0.001953
HTTTHTHTT,0.001953
THTTHTHTT,0.001953
HHTTHTHTT,0.001953
TTHTHTHTT,0.001953
HTHTHTHTT,0.001953
THHTHTHTT,0.001953
HHHTHTHTT,0.001953
TTTHHTHTT,0.001953
HTTHHTHTT,0.001953
THTHHTHTT,0.001953
HHTHHTHTT,0.001953
TTHHHTHTT,0.001953
HTHHHTHTT,0.001953
THHHHTHTT,0.001953
HHHHHTHTT,0.001953
TTTTTHHTT,0.001953
HTTTTHHTT,0.001953
THTTTHHTT,0.001953
HHTTTHHTT,0.001953
TTHTTHHTT,0.001953
HTHTTHHTT,0.001953
THHTTHHTT,0.001953
HHHTTHHTT,0.001953
TTTHTHHTT,0.001953
HTTHTHHTT,0.001953
THTHTHHTT,0.001953
HHTHTHHTT,0.001953
TTHHTHHTT,0.001953
HTHHTHHTT,0.001953
THHHTHHTT,0.001953
HHHHTHHTT,0.001953
TTTTHHHTT,0.001953
HTTTHHHTT,0.001953
THTTHHHTT,0.001953
HHTTHHHTT,0.001953
TTHTHHHTT,0.001953
HTHTHHHTT,0.001953
THHTHHHTT,0.001953
HHHTHHHTT,0.001953
TTTHHHHTT,0.001953
HTTHHHHTT,0.001953
THTHHHHTT,0.001953
HHTHHHHTT,0.001953
TTHHHHHTT,0.001953
HTHHHHHTT,0.001953
THHHHHHTT,0.001953
HHHHHHHTT,0.001953
TTTTTTTHT,0.001953
HTTTTTTHT,0.001953
THTTTTTHT,0.001953
HHTTTTTHT,0.001953
TTHTTTTHT,0.001953
HTHTTTTHT,0.001953
THHTTTTHT,0.001953
HHHTTTTHT,0.001953
TTTHTTTHT,0.001953
HTTHTTTHT,0.001953
THTHTTTHT,0.001953
HHTHTTTHT,0.001953
TTHHTTTHT,0.001953
